Date,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Administered,Administered_Janssen,Administered_Moderna,Administered_Pfizer
2/26/2022,CT,8294835,338500,3193960,4762375,7283126,246716,2751649,4283543
2/26/2022,NE,3766810,149400,1327580,2289830,3080117,93332,1108928,1871791
2/26/2022,MS,5296635,223400,2135480,2937755,3759238,91429,1510842,2154352
2/26/2022,DE,2219555,96600,858600,1264355,1731951,61359,665547,1002971
2/26/2022,VA,18742405,772600,6607620,11362185,15866920,499240,5612557,9745986
2/26/2022,CO,11862375,486200,4368940,7007235,10311920,337689,3994058,5970991
2/26/2022,AZ,14082020,603700,5393520,8084800,11531490,361823,4542693,6602292
2/26/2022,MI,20007330,928900,7882940,11195490,15205838,461084,5957004,8785627
2/26/2022,WA,16837495,746400,6080400,10010695,13839196,481223,5175317,8171682
2/26/2022,DD2,6631010,210000,2160140,4260870,7238067,319625,2399321,4496472
2/26/2022,OH,21958655,970300,8260640,12727715,17216600,618150,6547673,10030729
2/26/2022,SC,9990175,449400,4128140,5412635,7270556,228959,2831569,4207862
2/26/2022,TN,12256230,505400,4671240,7079590,9589139,260573,3666412,5607702
2/26/2022,HI,3317380,124400,1228620,1964360,2801978,70184,1018462,1713040
2/26/2022,PR,7275590,213900,2555360,4506330,6926361,151444,2662198,4112095
2/26/2022,IL,26157795,1159300,9074440,15924055,21740905,673129,7699219,13339713
2/26/2022,IA,6236555,288200,2390020,3558335,4923151,176609,1956112,2789926
2/26/2022,MA,16167190,608400,6125200,9433590,14262579,399960,5583004,8279175
2/26/2022,MN,11972970,500600,4240060,7232310,9894302,354081,3591905,5944213
2/26/2022,MO,11060305,422100,4186800,6451405,8651232,248228,3126519,5274164
2/26/2022,GA,20646995,816500,8041940,11788555,14344364,334317,5582242,8389619
2/26/2022,PW,43990,3800,28500,11690,46418,2346,35803,8191
2/26/2022,IH2,2781195,104700,1239780,1436715,2166291,39735,1018480,1107905
2/26/2022,MT,1879695,104200,773300,1002195,1534565,60150,646168,826181
2/26/2022,NH,3274330,175300,1159040,1939990,2418478,112837,954004,1351555
2/26/2022,FL,45619445,2339100,16858780,26421565,36093122,1455487,13336954,21168322
2/26/2022,AL,9252240,394900,4013260,4844080,6094167,174789,2657863,3261046
2/26/2022,KY,8394875,378600,3462000,4554275,6313225,233163,2596333,3481344
2/26/2022,IN,12613880,593200,4444300,7576380,9193356,302152,3319346,5542364
2/26/2022,OK,6978330,321300,2900280,3756750,5716682,151547,2309044,3254684
2/26/2022,FM,151100,12800,86940,51360,103551,13076,73786,16664
2/26/2022,NY,43882545,1859300,15446600,26576645,37814842,1416049,13675498,22703784
2/26/2022,TX,58819795,2603300,21114440,35102055,44356747,1532694,16298969,26520721
2/26/2022,VA2,7777820,625900,3783880,3368040,7210625,254615,3717191,3238536
2/26/2022,LA,7899590,319900,3220620,4359070,6051749,195947,2484238,3368517
2/26/2022,GU,317160,23200,84780,209180,331102,12822,105338,212782
2/26/2022,NC,20867200,917500,7857260,12092440,16108097,509875,5991058,9606232
2/26/2022,UT,5992350,241300,2046260,3704790,5062180,182083,1771026,3108756
2/26/2022,MP,121430,3600,25020,92810,105693,1327,14494,89872
2/26/2022,SD,1762665,88800,704200,969665,1354512,40452,529263,784664
2/26/2022,US,689797945,30327800,255332520,404137625,552526931,18429439,208170728,325425139
2/26/2022,NM,4245645,186200,1655500,2403945,3763932,117371,1529556,2108586
2/26/2022,AR,5858220,251000,2444560,3162660,4085165,121696,1745930,2213667
2/26/2022,VT,1697650,71200,663680,962770,1345762,52792,524586,767504
2/26/2022,RI,2494525,87600,949500,1457425,2129178,64780,810381,1252453
2/26/2022,ME,3187450,151900,1256020,1779530,2702926,142671,1100298,1456650
2/26/2022,WI,11082845,450400,4133000,6499445,9858587,332369,3768642,5755289
2/26/2022,KS,5747915,254400,2197740,3295775,4431610,136524,1681298,2609911
2/26/2022,ID,3212390,155700,1247180,1809510,2363615,86042,892645,1381641
2/26/2022,WV,3849485,160900,1534460,2154125,2634424,66406,1136167,1430160
2/26/2022,MH,86380,12600,56400,17380,52349,2650,44572,5125
2/26/2022,VI,145460,2800,37840,104820,139908,2263,41795,95850
2/26/2022,CA,85834025,3685200,30682620,51466205,71450284,2275004,26711144,42448809
2/26/2022,NJ,20931935,943700,7497160,12491075,16537217,564625,6235366,9734822
2/26/2022,MD,14996010,600900,5103200,9291910,11500379,360559,4163904,6959405
2/26/2022,PA,28770325,1504100,10922060,16344165,22079755,763807,8509953,12804550
2/26/2022,NV,5671810,258100,1950700,3463010,4707786,183965,1619009,2904286
